Year,"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","School enrollment, primary (gross), gender parity index (GPI)","School enrollment, secondary (gross), gender parity index (GPI)"
1971,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.382580012083054,0.260490000247955
1972,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.391589999198914,0.275110006332397
1973,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.419010013341904,0.301759988069534
1974,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.420069992542267,0.307680010795593
1975,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.425529986619949,0.325599998235703
1976,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.444070011377335,0.321469992399216
1977,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.427439987659454,0.33228000998497
1978,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.495970010757446,0.337260007858276
1979,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.493569999933243,0.374370008707047
1980,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.502569973468781,0.366169989109039
1981,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.512080013751984,0.367549985647202
1982,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.522740006446838,0.369520008563995
1983,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.51103001832962,0.351969987154007
1984,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.513170003890991,0.353199988603592
1985,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.521420001983643,0.363519996404648
1986,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.530030012130737,0.393040001392365
1987,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.525070011615753,0.402570009231567
1988,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.535619974136353,0.411980003118515
1989,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.528599977493286,0.417959988117218
1990,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.533519983291626,0.417540013790131
1991,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.533519983291626,0.477770000696182
1992,14.7700004577637,35.3800010681152,23.8299999237061,44.5,0.533519983291626,0.501649975776672
1998,29.0400009155273,55.2999992370605,43.1100006103516,67.1500015258789,0.533519983291626,0.501649975776672
2000,29.0400009155273,55.2999992370605,43.1100006103516,67.1500015258789,0.679719984531403,0.501649975776672
2001,29.0400009155273,55.2999992370605,43.1100006103516,67.1500015258789,0.680230021476746,0.501649975776672
2002,29.0400009155273,55.2999992370605,43.1100006103516,67.1500015258789,0.681159973144531,0.501649975776672
2003,29.0400009155273,55.2999992370605,43.1100006103516,67.1500015258789,0.726610004901886,0.501649975776672
2004,29.0400009155273,55.2999992370605,43.1100006103516,67.1500015258789,0.732909977436066,0.501649975776672
2005,35.3699989318848,64.0599975585938,53.0900001525879,76.6500015258789,0.768739998340607,0.501649975776672
2006,39.6100006103516,67.6500015258789,58.3699989318848,79.0999984741211,0.791339993476868,0.776939988136292
2007,38.4599990844727,65.0,56.7799987792969,75.2399978637695,0.8332200050354,0.760349988937378
2008,40.0800018310547,68.870002746582,61.25,79.4199981689453,0.843020021915436,0.760930001735687
2009,40.310001373291,68.629997253418,61.4599990844727,79.1399993896484,0.854460000991821,0.794470012187958
2010,41.0200004577637,68.9000015258789,62.2999992370605,79.5,0.85317999124527,0.772909998893738
2011,41.9799995422363,66.9899978637695,63.1399993896484,78.0400009155273,0.859510004520416,0.753000020980835
2012,43.0699996948242,69.8600006103516,64.4700012207031,80.2900009155273,0.871649980545044,0.735589981079102
2013,41.9700012207031,68.629997253418,63.439998626709,79.4000015258789,0.869700014591217,0.732100009918213
2014,44.2799987792969,69.0699996948242,65.5500030517578,79.7699966430664,0.853500008583069,0.791769981384277
2015,44.2799987792969,69.0699996948242,65.5500030517578,79.7699966430664,0.855929970741272,0.794000029563904
2016,44.2799987792969,69.0699996948242,65.5500030517578,79.7699966430664,0.853980004787445,0.811999976634979
2017,46.4700012207031,71.120002746582,67.5400009155273,81.2600021362305,0.863009989261627,0.81291002035141
2018,45.4000015258789,69.2799987792969,64.3499984741211,79.7799987792969,0.844410002231598,0.852389991283417
2019,46.4900016784668,69.2900009155273,65.1900024414062,79.7300033569336,0.881079971790314,0.868359982967377
2021,48.5200004577637,69.1399993896484,66.5199966430664,79.4599990844727,0.881079971790314,0.868359982967377
